rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes,vlm_same_region,vlm_usable,vlm_score,vlm_reason,vlm_decision
117,kuripm_0033_l2160_3600_r2280_3792.jpg,0033,page0033.clip,2160,3600,2280,3792,120,192,0.024717881944444443,0.5952709782412654,7.639362573623657,1.8676100830240168,,,True,True,5.0,Rough and line align closely in structure and orientation.,accept
118,kuripm_0035_l2160_1440_r2352_1632.jpg,0035,page0035.clip,2160,1440,2352,1632,192,192,0.032486979166666666,0.5910686764988459,8.106597661972046,1.8613731338957438,,,True,True,5.0,Rough and line align precisely in structure and orientation.,accept
119,kuripm_0020_l2880_5760_r2936_5704.jpg,0020,page0020.clip,2880,5760,2936,5704,56,-56,0.06261284722222223,0.5738591418877423,7.684910774230957,1.8608283220754502,,,False,False,1.0,"Regions mismatched, not aligned",reject
120,kuripm_0013_l1440_4320_r1352_4512.jpg,0013,page0013.clip,1440,4320,1352,4512,-88,192,0.06859809027777777,0.5984947041075914,8.425158977508545,1.8606418883432319,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
121,kuripm_0011_l2160_3600_r2288_3792.jpg,0011,page0011.clip,2160,3600,2288,3792,128,192,0.058307291666666664,0.5527497871913944,7.755390405654907,1.8504667580987402,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
122,kuripm_0032_l2160_5760_r2144_5648.jpg,0032,page0032.clip,2160,5760,2144,5648,-16,-112,0.023875868055555555,0.575599945283746,8.268517971038818,1.834868657697671,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
123,kuripm_0033_l3600_5040_r3680_5184.jpg,0033,page0033.clip,3600,5040,3680,5184,80,144,0.0251171875,0.5662289307298514,8.10073971748352,1.8336002603089834,,,True,True,5.0,Rough and line align precisely on breast region with matching contours and proportions.,accept
124,kuripm_0032_l4481_2880_r4369_2896.jpg,0032,page0032.clip,4481,2880,4369,2896,-112,16,0.018993055555555555,0.5926983315418478,8.270021438598633,1.819136023803732,,,True,True,5.0,"Rough and line align precisely, matching anatomical structure and orientation.",accept
125,kuripm_0007_l4320_5040_r4392_5216.jpg,0007,page0007.clip,4320,5040,4392,5216,72,176,0.013841145833333334,0.6142281053219274,8.094007849693298,1.816079860307617,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
126,kuripm_0020_l2880_1440_r3024_1384.jpg,0020,page0020.clip,2880,1440,3024,1384,144,-56,0.04496527777777778,0.6056414292959176,9.192615985870361,1.8152813817373583,,,True,True,5.0,Sketch and line align in facial region with consistent structure.,accept
127,kuripm_0032_l2160_5040_r2160_4952.jpg,0032,page0032.clip,2160,5040,2160,4952,0,-88,0.044830729166666666,0.5506340166513723,7.70743203163147,1.8149196576143356,,,True,True,5.0,"Aligns well, same subject, consistent orientation",accept
128,kuripm_0032_l3600_1440_r3512_1512.jpg,0032,page0032.clip,3600,1440,3512,1512,-88,72,0.015499131944444444,0.6101288176439855,9.188734531402588,1.8136210095113363,,,True,True,5.0,Rough and line align perfectly in shape and detail.,accept
129,kuripm_0013_l3600_5760_r3504_5816.jpg,0013,page0013.clip,3600,5760,3504,5816,-96,56,0.018289930555555556,0.618212615180678,8.248280882835388,1.8117462874233856,,,False,False,1.0,"Regions mismatched, not aligned",reject
130,kuripm_0021_l4320_4320_r4344_4304.jpg,0021,page0021.clip,4320,4320,4344,4304,24,-16,0.02234375,0.5838730632933057,6.708704352378845,1.7650360880651845,,,False,False,1.0,"Regions mismatched, no clear shared subject",reject
131,kuripm_0002_l2880_2160_r2792_2080.jpg,0002,page0002.clip,2880,2160,2792,2080,-88,-80,0.036297743055555554,0.5436985662076875,7.8642871379852295,1.7619818474862963,,,True,True,5.0,Rough and line align perfectly in shape and structure.,accept
132,kuripm_0013_l4320_0720_r4200_0880.jpg,0013,page0013.clip,4320,720,4200,880,-120,160,0.017955729166666667,0.6533435145690565,8.948776245117188,1.7581394465881008,,,False,False,0.0,Different body parts/objects,reject
133,kuripm_0027_l1440_5760_r1592_5952.jpg,0027,page0027.clip,1440,5760,1592,5952,152,192,0.027547743055555556,0.551270605364361,7.917785406112671,1.7488550250757924,,,True,True,5.0,"Rough and line align precisely, matching local anatomy and orientation.",accept
134,kuripm_0008_l2160_5040_r2160_4888.jpg,0008,page0008.clip,2160,5040,2160,4888,0,-152,0.014848090277777778,0.5677112281882871,7.664181709289551,1.7351102710953583,,,False,False,1.0,"Regions mismatched, not aligned",reject
135,kuripm_0002_l2160_3600_r2128_3448.jpg,0002,page0002.clip,2160,3600,2128,3448,-32,-152,0.05506510416666666,0.5503552870072033,8.038085699081421,1.7320696720179083,,,True,True,5.0,"Regions align precisely, overlay confirms matching contours.",accept
136,kuripm_0040_l0720_2880_r0640_3072.jpg,0040,page0040.clip,720,2880,640,3072,-80,192,0.032703993055555554,0.5764727858482893,8.380892038345337,1.7176764286776849,,,False,False,1.0,"Regions mismatched, not aligned",reject
137,kuripm_0001_l1440_5040_r1376_5008.jpg,0001,page0001.clip,1440,5040,1376,5008,-64,-32,0.06575520833333333,0.561025392500366,8.30587911605835,1.7161616049582964,,,True,True,5.0,Structural alignment confirmed,accept
138,kuripm_0005_l0720_5040_r0888_5184.jpg,0005,page0005.clip,720,5040,888,5184,168,144,0.025134548611111113,0.5720420957771952,8.896292448043823,1.7150811169169264,,,True,True,5.0,Sketch and line match in shape and structure.,accept
139,kuripm_0023_l3600_2880_r3632_3072.jpg,0023,page0023.clip,3600,2880,3632,3072,32,192,0.03312065972222222,0.5420056739169117,7.857001066207886,1.7101502236676693,,,True,True,5.0,Sketch and line align precisely in form and structure.,accept
140,kuripm_0010_l3600_5760_r3760_5952.jpg,0010,page0010.clip,3600,5760,3760,5952,160,192,0.016575520833333333,0.5379590158099953,7.050848007202148,1.7087228900378058,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
141,kuripm_0032_l0000_1440_r0072_1528.jpg,0032,page0032.clip,0,1440,72,1528,72,88,0.04158420138888889,0.5932732384658509,7.929387092590332,1.681936362823702,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
142,kuripm_0040_l1440_5760_r1336_5928.jpg,0040,page0040.clip,1440,5760,1336,5928,-104,168,0.05961371527777778,0.5076119694517603,7.22908353805542,1.6631033666739856,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
143,kuripm_0005_l0720_4320_r0888_4496.jpg,0005,page0005.clip,720,4320,888,4496,168,176,0.0201953125,0.6108264711429614,9.798317432403564,1.652784296231114,,,True,True,5.0,Rough and line align perfectly in shape and structure.,accept
144,kuripm_0011_l1440_4320_r1576_4472.jpg,0011,page0011.clip,1440,4320,1576,4472,136,152,0.029635416666666668,0.5441557316444363,8.16627311706543,1.6522261343338476,,,True,True,5.0,Sketch and line align perfectly in form and structure.,accept
145,kuripm_0033_l2160_5040_r2288_5192.jpg,0033,page0033.clip,2160,5040,2288,5192,128,152,0.05391493055555555,0.5551342272686083,8.815662145614624,1.6479324890502374,,,True,True,5.0,"Regions align precisely, no misalignment or rotation.",accept
146,kuripm_0009_l3600_4320_r3608_4368.jpg,0009,page0009.clip,3600,4320,3608,4368,8,48,0.05723090277777778,0.5556437179251884,8.514107942581177,1.6440373670341517,,,False,False,1.0,"Regions mismatched, not aligned",reject
147,kuripm_0026_l2880_5040_r2872_4992.jpg,0026,page0026.clip,2880,5040,2872,4992,-8,-48,0.025108506944444445,0.5539419653831796,7.881901144981384,1.6424670126340326,,,True,True,5.0,Rough and line align precisely in form and orientation.,accept
148,kuripm_0011_l0000_4320_r0152_4464.jpg,0011,page0011.clip,0,4320,152,4464,152,144,0.030013020833333334,0.6347272529428089,9.918269872665405,1.6405792076329,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching region.",accept
149,kuripm_0005_l0000_5040_r0184_5184.jpg,0005,page0005.clip,0,5040,184,5184,184,144,0.05213107638888889,0.5474100170254391,7.755640506744385,1.6295040465045214,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
150,kuripm_0040_l1440_2880_r1568_2840.jpg,0040,page0040.clip,1440,2880,1568,2840,128,-40,0.019401041666666667,0.5585237198093616,8.439029693603516,1.6218903515567256,,,False,False,1.0,"Regions mismatched, not aligned",reject
151,kuripm_0032_l4320_2160_r4208_2200.jpg,0032,page0032.clip,4320,2160,4208,2200,-112,40,0.022265625,0.5428218429700572,7.82200288772583,1.6217854098977087,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
152,kuripm_0002_l4320_3600_r4304_3504.jpg,0002,page0002.clip,4320,3600,4304,3504,-16,-96,0.011189236111111112,0.5923765071956437,8.650713801383972,1.6189444818481873,,,False,False,1.0,"Regions mismatched, not aligned",reject
153,kuripm_0029_l1440_3600_r1560_3704.jpg,0029,page0029.clip,1440,3600,1560,3704,120,104,0.02423611111111111,0.6036028981253252,9.26146388053894,1.6163722853623197,,,True,True,5.0,Rough and line align precisely in form and orientation.,accept
154,kuripm_0002_l2880_0720_r2736_0592.jpg,0002,page0002.clip,2880,720,2736,592,-144,-128,0.07006944444444445,0.5444051739805101,8.488691806793213,1.6105629536683983,,,True,True,5.0,Consistent character region and alignment,accept
155,kuripm_0015_l2880_0720_r3072_0816.jpg,0015,page0015.clip,2880,720,3072,816,192,96,0.06452690972222222,0.52450107355228,8.16132664680481,1.60479895714878,,,True,True,5.0,"Eye region matches precisely, no misalignment or rotation.",accept
156,kuripm_0026_l0720_5760_r0696_5736.jpg,0026,page0026.clip,720,5760,696,5736,-24,-24,0.03375434027777778,0.5481120289745331,8.843761920928955,1.6012244088599186,,,True,True,5.0,Sketch and line match precisely in form and orientation.,accept
157,kuripm_0028_l2160_5760_r2320_5944.jpg,0028,page0028.clip,2160,5760,2320,5944,160,184,0.09924479166666667,0.5472950506596274,8.695226192474365,1.6009991991675698,,,True,True,5.0,"Regions align precisely, edges match, no structural mismatch.",accept
158,kuripm_0040_l2160_5040_r2048_5208.jpg,0040,page0040.clip,2160,5040,2048,5208,-112,168,0.04529947916666666,0.5789443361437059,9.25935435295105,1.590814126094041,,,True,True,5.0,Sketch and line align closely in anatomy and orientation.,accept
159,kuripm_0016_l0720_0720_r0680_0800.jpg,0016,page0016.clip,720,720,680,800,-40,80,0.03614149305555556,0.5729120140636753,8.263156175613403,1.5840659573076226,,,True,True,5.0,Rough and line align perfectly in form and orientation.,accept
160,kuripm_0011_l0000_3600_r0168_3792.jpg,0011,page0011.clip,0,3600,168,3792,168,192,0.018932291666666667,0.6174783438971856,10.2280855178833,1.5785640182162592,,,True,True,5.0,Rough and line align perfectly in shape and region.,accept
161,kuripm_0011_l3600_1440_r3568_1584.jpg,0011,page0011.clip,3600,1440,3568,1584,-32,144,0.02537326388888889,0.5769264865704933,8.229216694831848,1.5745100702792418,,,False,False,1.0,"Regions mismatched, no clear shared subject",reject
162,kuripm_0006_l0720_5040_r0800_5072.jpg,0006,page0006.clip,720,5040,800,5072,80,32,0.07523003472222223,0.5493933287651621,8.132243394851685,1.5716027904381047,,,True,True,5.0,"Rough and line align precisely, matching local anatomy and orientation.",accept
163,kuripm_0020_l2880_4320_r2920_4232.jpg,0020,page0020.clip,2880,4320,2920,4232,40,-88,0.028237847222222223,0.6108701594207777,9.76103401184082,1.5713828559994236,,,True,True,5.0,Rough and line align perfectly in form and orientation.,accept
164,kuripm_0001_l1440_2160_r1472_2136.jpg,0001,page0001.clip,1440,2160,1472,2136,32,-24,0.08799045138888889,0.5274309100941631,8.032735586166382,1.5707099516617666,,,True,True,5.0,"Rough and line align perfectly on facial features and hair, with clear overlay matching.",accept
165,kuripm_0025_l0720_0720_r0680_0664.jpg,0025,page0025.clip,720,720,680,664,-40,-56,0.0723220486111111,0.5242361755776258,8.487571239471436,1.5691443326548917,,,True,True,5.0,Consistent facial features and proportions across all layers.,accept
166,kuripm_0020_l2880_2160_r2928_2056.jpg,0020,page0020.clip,2880,2160,2928,2056,48,-104,0.062348090277777775,0.5553427030270169,9.039139747619629,1.5558273413393708,,,True,True,5.0,Sketch and line align closely in facial features.,accept
167,kuripm_0028_l2880_5760_r2984_5936.jpg,0028,page0028.clip,2880,5760,2984,5936,104,176,0.0159765625,0.570525158097333,8.486699223518372,1.5554746575475853,,,False,False,0.0,Regions mismatched,reject
168,kuripm_0011_l2160_1440_r2288_1592.jpg,0011,page0011.clip,2160,1440,2288,1592,128,152,0.028993055555555557,0.567148150972644,8.26101303100586,1.5436896097013921,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
169,kuripm_0006_l2880_2880_r3024_3056.jpg,0006,page0006.clip,2880,2880,3024,3056,144,176,0.043715277777777777,0.5134998823173397,8.289886236190796,1.5325078126210079,,,True,True,5.0,"Regions align precisely, overlay confirms matching contours.",accept
170,kuripm_0020_l1440_0720_r1488_0632.jpg,0020,page0020.clip,1440,720,1488,632,48,-88,0.04138454861111111,0.5643169520440451,8.996509313583374,1.5253441199265396,,,True,True,5.0,"Regions align precisely, no misalignment or rotation detected.",accept
171,kuripm_0008_l3600_2880_r3536_2768.jpg,0008,page0008.clip,3600,2880,3536,2768,-64,-112,0.06428385416666667,0.5474057156311607,8.385922908782959,1.5069844533723817,,,True,True,5.0,Regions align precisely; red/blue overlay confirms consistent mapping.,accept
172,kuripm_0027_l0720_5760_r0888_5952.jpg,0027,page0027.clip,720,5760,888,5952,168,192,0.07938802083333334,0.4990240906235089,8.05388617515564,1.4995607917029221,,,True,True,5.0,Rough and line align precisely on foot/leg region with matching contours and structure.,accept
173,kuripm_0002_l1440_4320_r1384_4168.jpg,0002,page0002.clip,1440,4320,1384,4168,-56,-152,0.060069444444444446,0.5371374550746145,9.071231365203857,1.4845131311032111,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
174,kuripm_0032_l1440_4320_r1464_4264.jpg,0032,page0032.clip,1440,4320,1464,4264,24,-56,0.09401909722222222,0.5539770249821425,8.86135220527649,1.48301929664012,,,True,True,5.0,"Regions align precisely, no misalignment or mismatched body parts.",accept
175,kuripm_0020_l2160_1440_r2264_1344.jpg,0020,page0020.clip,2160,1440,2264,1344,104,-96,0.0923828125,0.5201713100401216,8.60936164855957,1.472496310717844,,,True,True,5.0,Rough and line match anatomically and spatially.,accept
176,kuripm_0005_l0720_3600_r0872_3792.jpg,0005,page0005.clip,720,3600,872,3792,152,192,0.04736545138888889,0.5385605074066021,7.977532148361206,1.466662557587288,,,True,True,5.0,"Regions align perfectly, no mismatch detected.",accept
177,kuripm_0008_l0720_5040_r0648_4848.jpg,0008,page0008.clip,720,5040,648,4848,-72,-192,0.0440234375,0.5305143531842669,8.091017007827759,1.4623688374155606,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
178,kuripm_0023_l1440_3600_r1568_3728.jpg,0023,page0023.clip,1440,3600,1568,3728,128,128,0.02681857638888889,0.5527420015081331,8.698702096939087,1.4541172714774,,,True,True,5.0,"Rough and line align precisely, matching contours and structure.",accept
179,kuripm_0019_l1440_0720_r1256_0752.jpg,0019,page0019.clip,1440,720,1256,752,-184,32,0.07194444444444445,0.5141896284123473,8.696019172668457,1.4528093716280663,,,True,True,5.0,"Rough and line align precisely on facial features and hair, with overlay confirming matching regions.",accept
180,kuripm_0027_l4320_0720_r4416_0736.jpg,0027,page0027.clip,4320,720,4416,736,96,16,0.012960069444444444,0.5381893860561915,8.762748003005981,1.44902732628497,,,False,False,1.0,"Mismatched regions, not aligned",reject
181,kuripm_0008_l2880_5760_r2824_5720.jpg,0008,page0008.clip,2880,5760,2824,5720,-56,-40,0.019934895833333334,0.572784595565801,9.186938762664795,1.4472437879551523,,,False,False,1.0,"Regions mismatched, not aligned",reject
182,kuripm_0005_l4481_2880_r4321_2848.jpg,0005,page0005.clip,4481,2880,4321,2848,-160,-32,0.04945746527777778,0.5069575884306129,8.228662490844727,1.4456658982204935,,,False,False,1.0,"Regions mismatched, not aligned",reject
183,kuripm_0020_l2880_3600_r3016_3496.jpg,0020,page0020.clip,2880,3600,3016,3496,136,-104,0.0417578125,0.5411326704918751,9.078883171081543,1.4386730265752328,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
184,kuripm_0025_l0000_5040_r0176_5136.jpg,0025,page0025.clip,0,5040,176,5136,176,96,0.02671875,0.5602314150419777,8.246152639389038,1.4385025714065507,,,False,False,1.0,"Regions mismatched, no shared object/structure",reject
185,kuripm_0027_l4320_5760_r4400_5624.jpg,0027,page0027.clip,4320,5760,4400,5624,80,-136,0.030807291666666667,0.5469733078723652,8.29394245147705,1.4340588504688585,,,True,True,5.0,"Rough and line align precisely, matching local structure and orientation.",accept
186,kuripm_0040_l2160_5760_r2056_5928.jpg,0040,page0040.clip,2160,5760,2056,5928,-104,168,0.07801215277777777,0.5365508609251367,9.457196950912476,1.4330866952198615,,,True,True,5.0,"Regions align precisely, no misalignment or mismatched body parts.",accept
187,kuripm_0032_l0000_2160_r0056_2328.jpg,0032,page0032.clip,0,2160,56,2328,56,168,0.024830729166666666,0.572218714830776,7.5854562520980835,1.430081610679188,,,False,False,0.0,"Different regions, no shared object",reject
188,kuripm_0019_l2160_2160_r1968_2208.jpg,0019,page0019.clip,2160,2160,1968,2208,-192,48,0.035559895833333334,0.49357907022090314,8.216288566589355,1.422491891620508,,,True,True,5.0,Aligns precisely in region and structure,accept
189,kuripm_0001_l3600_0000_r3664_0056.jpg,0001,page0001.clip,3600,0,3664,56,64,56,0.020941840277777776,0.5276632913386203,7.714666664600372,1.4205849651291496,,,False,False,1.0,"Mismatched regions, not aligned",reject
190,kuripm_0032_l4481_3600_r4361_3584.jpg,0032,page0032.clip,4481,3600,4361,3584,-120,-16,0.03485243055555556,0.5192359210644244,9.093918800354004,1.4127755421066945,,,True,True,5.0,"Rough and line align precisely, matching local structure.",accept
191,kuripm_0007_l2160_1440_r2336_1632.jpg,0007,page0007.clip,2160,1440,2336,1632,176,192,0.016046006944444444,0.5384655297914576,7.508533000946045,1.4123668316700704,,,False,False,1.0,"Regions mismatched, no shared object structure",reject
192,kuripm_0031_l1440_4320_r1616_4512.jpg,0031,page0031.clip,1440,4320,1616,4512,176,192,0.05297743055555556,0.5661331348389315,9.136502265930176,1.4090037433975138,,,True,True,5.0,"Regions align precisely, overlay confirms matching structure.",accept
193,kuripm_0011_l0720_4320_r0864_4456.jpg,0011,page0011.clip,720,4320,864,4456,144,136,0.012534722222222221,0.5580319417203699,10.086293816566467,1.3886377440368292,,,True,True,5.0,Rough and line align perfectly in shape and region.,accept
194,kuripm_0009_l2880_5760_r2896_5728.jpg,0009,page0009.clip,2880,5760,2896,5728,16,-32,0.0450390625,0.577076246712476,9.506672143936157,1.3829260360536837,,,True,True,5.0,"Aligns precisely, matches local structure",accept
195,kuripm_0005_l4320_1440_r4288_1344.jpg,0005,page0005.clip,4320,1440,4288,1344,-32,-96,0.03159288194444444,0.5334517404818208,9.187188386917114,1.379515833418398,,,True,True,5.0,Rough and line align precisely in form and structure.,accept
196,kuripm_0009_l0720_4320_r0696_4312.jpg,0009,page0009.clip,720,4320,696,4312,-24,-8,0.06682291666666666,0.5206875702235411,9.19883394241333,1.3719785553161667,,,False,False,1.0,"Regions mismatched, not aligned",reject
197,kuripm_0008_l1440_3600_r1344_3408.jpg,0008,page0008.clip,1440,3600,1344,3408,-96,-192,0.05052951388888889,0.5157742905594678,8.692386627197266,1.3698764596864796,,,False,False,1.0,"Regions mismatched, not aligned",reject
198,kuripm_0005_l4320_2880_r4144_2840.jpg,0005,page0005.clip,4320,2880,4144,2840,-176,-40,0.09070746527777777,0.509422015579532,8.987967729568481,1.3676736820468143,,,True,True,5.0,Regions align closely; overlay confirms consistent mapping.,accept
199,kuripm_0040_l2160_4320_r2048_4504.jpg,0040,page0040.clip,2160,4320,2048,4504,-112,184,0.06525607638888889,0.5483422061333346,9.575451374053955,1.3581076832825973,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching regions.",accept
200,kuripm_0020_l1440_2160_r1448_2200.jpg,0020,page0020.clip,1440,2160,1448,2200,8,40,0.061857638888888886,0.5466684981257517,9.711225032806396,1.353333216242988,,,True,True,5.0,Rough and line align precisely in anatomy and orientation.,accept
201,kuripm_0040_l2160_2880_r2056_3072.jpg,0040,page0040.clip,2160,2880,2056,3072,-104,192,0.13893663194444444,0.49782734679197166,8.917171478271484,1.3264414755377905,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching regions.",accept
202,kuripm_0028_l2880_4320_r3016_4512.jpg,0028,page0028.clip,2880,4320,3016,4512,136,192,0.05809895833333333,0.5120154962758856,9.368202686309814,1.3245853939243575,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
203,kuripm_0008_l2160_1440_r2080_1328.jpg,0008,page0008.clip,2160,1440,2080,1328,-80,-112,0.055047743055555556,0.49044147870176213,8.240970611572266,1.321216076914561,,,True,True,5.0,"Regions align precisely, no misalignment or mismatched body parts.",accept
204,kuripm_0019_l1440_2880_r1248_2872.jpg,0019,page0019.clip,1440,2880,1248,2872,-192,-8,0.062161458333333336,0.5134475136260469,9.286560535430908,1.3211373369239952,,,False,False,1.0,"Regions mismatched, not aligned",reject
205,kuripm_0032_l3600_2160_r3520_2216.jpg,0032,page0032.clip,3600,2160,3520,2216,-80,56,0.03176649305555555,0.524595781519122,8.746381759643555,1.3191579584131945,,,True,True,5.0,"Rough and line align precisely, matching local anatomy and structure.",accept
206,kuripm_0033_l4320_5040_r4368_5184.jpg,0033,page0033.clip,4320,5040,4368,5184,48,144,0.011180555555555555,0.5333921977845562,8.917933702468872,1.3077842426671882,,,True,True,5.0,Rough and line align precisely in form and orientation.,accept
207,kuripm_0015_l0720_4320_r0872_4464.jpg,0015,page0015.clip,720,4320,872,4464,152,144,0.053802083333333334,0.5326232866343372,9.456169605255127,1.3074717747946045,,,True,True,5.0,Rough and line align precisely in anatomy and orientation.,accept
208,kuripm_0020_l4320_0720_r4384_0584.jpg,0020,page0020.clip,4320,720,4384,584,64,-136,0.043719618055555555,0.5375608367268884,10.062365055084229,1.3041154169380813,,,True,True,5.0,Sketch and line match in form and structure.,accept
209,kuripm_0016_l1440_2880_r1248_3072.jpg,0016,page0016.clip,1440,2880,1248,3072,-192,192,0.15432291666666667,0.5260835596079688,9.146697521209717,1.292137006908758,,,False,False,1.0,"Regions mismatched, no shared semantic area",reject
210,kuripm_0020_l0720_1440_r0744_1344.jpg,0020,page0020.clip,720,1440,744,1344,24,-96,0.08473524305555556,0.5173022729835965,9.116717338562012,1.2896662489576314,,,True,True,5.0,Hand anatomy matches across all layers.,accept
211,kuripm_0029_l4320_5760_r4440_5832.jpg,0029,page0029.clip,4320,5760,4440,5832,120,72,0.019227430555555557,0.5900820763503841,10.230608463287354,1.2873130361420455,,,False,False,1.0,"Objects mismatched, not aligned",reject
212,kuripm_0001_l3600_0720_r3672_0632.jpg,0001,page0001.clip,3600,720,3672,632,72,-88,0.035798611111111114,0.5040090324599804,8.925678253173828,1.2853643713927285,,,True,True,5.0,Rough and line align perfectly in structure and orientation.,accept
213,kuripm_0008_l1440_1440_r1368_1328.jpg,0008,page0008.clip,1440,1440,1368,1328,-72,-112,0.06591145833333334,0.5032106531947965,9.050506353378296,1.2841510698481953,,,True,True,5.0,Aligned facial features and consistent proportions,accept
214,kuripm_0025_l0720_4320_r0704_4208.jpg,0025,page0025.clip,720,4320,704,4208,-16,-112,0.012213541666666666,0.5158662274201608,8.283511519432068,1.2840483641464628,,,False,False,1.0,"Regions mismatched, not aligned",reject
215,kuripm_0029_l1440_0000_r1568_0120.jpg,0029,page0029.clip,1440,0,1568,120,128,120,0.03751736111111111,0.49039157443020626,9.012566566467285,1.2809329264361864,,,True,True,5.0,"Rough and line align perfectly in facial region, no misalignment or mismatch.",accept
216,kuripm_0035_l4481_3600_r4401_3512.jpg,0035,page0035.clip,4481,3600,4401,3512,-80,-88,0.15975260416666667,0.5675123159824833,9.570088863372803,1.2769977668380788,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
217,kuripm_0001_l0720_2880_r0752_2864.jpg,0001,page0001.clip,720,2880,752,2864,32,-16,0.0207421875,0.5395485698747147,10.060456275939941,1.271221715969723,,,False,False,1.0,"Regions mismatched, not aligned",reject
218,kuripm_0009_l3600_2160_r3616_2192.jpg,0009,page0009.clip,3600,2160,3616,2192,16,32,0.03417100694444444,0.5282558774356367,9.588852882385254,1.2653072061393704,,,True,True,5.0,Regions align closely; red/blue overlay confirms consistent mapping.,accept
219,kuripm_0001_l3600_3600_r3672_3568.jpg,0001,page0001.clip,3600,3600,3672,3568,72,-32,0.053307291666666666,0.5499643282700518,9.716083526611328,1.2620107401852,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
220,kuripm_0006_l0720_2880_r0672_2760.jpg,0006,page0006.clip,720,2880,672,2760,-48,-120,0.052999131944444444,0.5625586091305489,9.549884796142578,1.2609590761189953,,,True,True,5.0,Rough and line align perfectly in structure and region.,accept
221,kuripm_0033_l1440_3600_r1584_3744.jpg,0033,page0033.clip,1440,3600,1584,3744,144,144,0.05295138888888889,0.5326023865181618,9.606398582458496,1.253641872957739,,,True,True,5.0,Sketch and line align precisely in structure and orientation.,accept
222,kuripm_0019_l2880_5040_r2712_5120.jpg,0019,page0019.clip,2880,5040,2712,5120,-168,80,0.08790798611111111,0.4914348978071931,9.089696407318115,1.2530994722527566,,,True,True,5.0,Consistent facial features and proportions across all layers.,accept
223,kuripm_0009_l2880_1440_r2912_1448.jpg,0009,page0009.clip,2880,1440,2912,1448,32,8,0.038276909722222224,0.504824653958982,9.362223863601685,1.2488752090219284,,,True,True,5.0,Rough and line align precisely in anatomy and orientation.,accept
224,kuripm_0021_l3600_4320_r3720_4496.jpg,0021,page0021.clip,3600,4320,3720,4496,120,176,0.02151909722222222,0.5287223582180532,9.465490818023682,1.2480997861142387,,,False,False,1.0,Red and blue overlays show different anatomical regions; mismatched body parts.,reject
225,kuripm_0023_l2160_1440_r2208_1600.jpg,0023,page0023.clip,2160,1440,2208,1600,48,160,0.0541796875,0.4687603699352509,8.733655452728271,1.2451135391001582,,,True,True,5.0,Sketch and line align anatomically and spatially.,accept
226,kuripm_0038_l2160_5040_r2264_4848.jpg,0038,page0038.clip,2160,5040,2264,4848,104,-192,0.15404513888888888,0.5048868408589388,9.2012939453125,1.2423105008222968,,,True,True,5.0,Rough and line align precisely in anatomy and orientation.,accept
227,kuripm_0002_l0720_0720_r0640_0544.jpg,0002,page0002.clip,720,720,640,544,-80,-176,0.05639756944444444,0.5353222781404334,10.234820365905762,1.2366195008659324,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching structure.",accept
228,kuripm_0016_l0000_4320_r0000_4440.jpg,0016,page0016.clip,0,4320,0,4440,0,120,0.011059027777777777,0.5417661376328127,9.115696549415588,1.2352755006639675,,,False,False,1.0,"Regions mismatched, not aligned",reject
229,kuripm_0033_l2880_5040_r2984_5200.jpg,0033,page0033.clip,2880,5040,2984,5200,104,160,0.030056423611111112,0.5317939180323515,9.800283908843994,1.2352535255779535,,,True,True,5.0,Regions align closely; red and blue overlays match anatomical contours.,accept
230,kuripm_0025_l0720_1440_r0552_1408.jpg,0025,page0025.clip,720,1440,552,1408,-168,-32,0.044071180555555554,0.5013587011142451,9.245993375778198,1.2347395275506412,,,False,False,1.0,"Regions mismatched, not aligned",reject
231,kuripm_0032_l3600_5760_r3544_5624.jpg,0032,page0032.clip,3600,5760,3544,5624,-56,-136,0.07956597222222223,0.4726435458194158,8.377973556518555,1.2214729971687261,,,True,True,5.0,Regions align precisely; red and blue overlays match anatomical contours.,accept
